,Ponto de Bezier,A - Coordenada X,A - Coordenada Y,AoA,Reynolds,CL,CD
59,4,0.0023,0.0651,-8.52,2067052.95,-0.4479,0.09189
60,4,0.1471,-0.0117,-2.28,1600690.02,-0.3173,0.00726
61,2,0.0561,0.0433,7.45,4831005.41,0.9363,0.00915
62,2,0.0895,0.0364,14.1,3257032.68,1.5207,0.018
63,3,0.1602,-0.0736,14.12,2732895.43,1.3444,0.01749
64,3,-0.0086,-0.0332,1.17,641288.82,0.0922,0.00543
65,2,-0.1977,0.0683,-7.15,265371.31,-0.5677,0.01433
66,4,-0.125,0.0607,-17.07,3380742.99,-0.579,0.18044
67,3,-0.1069,0.0681,-3.68,1260385.11,-0.3441,0.00613
68,3,0.0638,-0.0819,-0.1,1900951.82,-0.093,0.007
69,2,0.1707,0.0667,16.34,3089493.42,0.7343,0.13353
70,1,0.0547,-0.019,-7.02,4136718.48,-0.8271,0.00891
71,4,-0.1166,-0.0058,4.95,3943630.29,0.5453,0.00669
72,4,0.1887,-0.0177,13.06,1206492.15,0.4359,0.12067
73,3,-0.1446,-0.0708,1.59,688429.62,0.0993,0.00907
74,2,0.1516,0.0063,1.67,1850865.96,0.1488,0.00643
75,4,-0.0039,-0.0281,4.49,3554622.22,0.3609,0.00683
76,3,0.1886,-0.0672,-10.53,1846122.76,-1.198,0.01416
77,2,0.0208,0.0882,-12.23,3925026.22,-1.2212,0.01007
78,3,0.0121,-0.0719,10.1,3191494.73,1.0561,0.00901
79,2,-0.1048,0.0131,-18.54,1518855.06,-0.6171,0.18874
80,3,-0.1433,0.0656,-3.57,1888904.24,-0.3331,0.00578
81,1,-0.0648,-0.0123,7.02,3466197.71,0.6691,0.00874
82,4,0.1724,0.0428,13.61,826707.09,0.7177,0.15177
83,4,-0.0794,-0.08,2.99,4557244.85,-0.001,0.00724
84,4,-0.0803,0.0184,10.28,317473.88,0.645,0.07374
85,2,0.1203,0.0751,-11.26,2259490.28,-1.115,0.01413
86,4,-0.1759,-0.0788,-1.36,4590956.75,-0.4581,0.00759
87,3,0.1238,-0.0011,-1.65,1794360.88,-0.158,0.00677
88,4,-0.0269,0.0185,1.13,2905655.17,0.2089,0.00786
89,2,0.163,0.0404,0.37,248148.29,0.0358,0.03119
90,3,0.0807,-0.0275,-2.21,2962887.35,-0.2693,0.00595
91,4,0.0418,-0.0649,3.51,416981.08,0.0323,0.01131
92,3,0.0849,-0.0819,13.04,3488197.64,1.3443,0.01238
93,3,0.0562,-0.0533,-9.52,1433450.17,-1.1242,0.01204
94,4,0.043,-0.0201,5.43,3156377.77,0.4745,0.00711
95,4,-0.1072,-0.0642,-1.35,4356307.42,-0.4151,0.00702
96,4,-0.1554,0.007,11.27,4329463.28,1.2437,0.01523
97,3,-0.0755,0.0366,-6.22,4007882.45,-0.5753,0.03633
98,3,0.1334,-0.044,-4.99,1050052.77,-0.6215,0.00949
99,3,-0.0308,-0.0767,-10.83,715935.82,-0.4651,0.13011
100,4,-0.1885,0.0227,-7.66,2381646.95,-0.733,0.00944
101,1,-0.0067,-0.0194,-0.21,4373933.81,-0.1331,0.00583
102,2,-0.1334,0.0845,-16.23,183480.45,-1.073,0.03331
103,4,-0.0606,0.0052,5.63,3486226.51,0.6577,0.00757
104,4,-0.0329,0.0094,-6.0,846617.3,-0.6507,0.01124
105,4,0.0341,0.0615,-4.51,1533184.35,-0.2436,0.01669
106,2,-0.0245,0.0709,-19.46,439066.81,-1.4175,0.03539
107,4,-0.1695,0.0339,9.37,3641918.55,1.1696,0.01115
108,3,-0.0598,-0.071,13.58,3257978.98,1.3605,0.0131
109,4,0.1285,0.0007,17.26,366331.35,0.5755,0.19373
110,3,0.1363,-0.0701,-3.55,580353.12,-0.5038,0.0096
111,4,0.1381,-0.0465,2.1,3744567.62,-0.0128,0.00881
112,4,-0.0187,0.0747,4.01,3638612.1,0.7464,0.00789
113,4,0.0317,0.0795,4.91,4980708.01,0.8658,0.00806
114,4,0.0002,-0.0679,14.32,639125.88,0.3077,0.14685
115,2,-0.0612,0.074,-15.5,4437632.87,-1.4721,0.01305
116,1,0.0496,-0.0157,-6.16,447901.36,-0.714,0.00856
117,1,-0.0735,-0.0135,5.81,4905028.58,0.4398,0.03866
118,3,-0.1403,-0.042,4.49,1338625.92,0.4294,0.00639
119,4,-0.0667,-0.0575,-0.69,2201734.17,-0.3196,0.00666
120,4,-0.1224,-0.0036,-0.76,1900280.3,-0.0774,0.00569
121,4,0.024,-0.0596,1.5,3227707.82,-0.1308,0.00686
122,2,0.1735,0.0355,13.6,683578.97,0.8581,0.0627
123,3,0.0052,-0.0529,0.73,3539183.13,0.0293,0.00614
124,4,0.0303,-0.0335,-0.61,2989966.81,-0.2375,0.00722
125,4,0.0921,0.0057,-1.74,694868.54,-0.1586,0.00803
126,4,-0.0847,-0.0147,-2.26,2365389.02,-0.2971,0.00523
127,4,-0.0986,-0.0822,-6.79,1338082.47,-0.9552,0.01382
128,2,0.0607,0.0035,1.48,4724850.33,0.1578,0.00722
129,3,-0.1137,-0.0783,4.67,1939245.56,0.4357,0.00721
130,3,-0.1094,-0.0266,19.21,312546.26,0.6266,0.19296
131,2,0.137,0.0133,-1.07,3342385.35,-0.121,0.0073
132,4,-0.1459,0.0079,-11.6,2650236.39,-1.1962,0.01293
133,4,-0.1325,0.0785,4.02,4697159.79,0.7557,0.00766
134,2,0.0243,0.0602,-7.61,2621149.96,-0.7455,0.00898
135,4,-0.1656,-0.0572,11.2,3269366.91,1.0027,0.0133
136,4,-0.0973,0.0397,-1.71,2254368.69,-0.0091,0.0063
137,2,-0.0147,0.0579,-7.11,4412320.56,-0.6875,0.00767
138,2,-0.1394,0.0704,-6.1,2458742.2,-0.4957,0.009
139,4,-0.1762,0.0623,11.74,3095199.38,1.4801,0.01631
140,2,0.1205,0.0766,-10.97,3466783.32,-1.0967,0.01216
141,4,-0.1063,0.0435,6.4,573848.25,0.8674,0.01303
142,2,0.0311,0.0665,-17.29,892900.23,-1.3303,0.02873
143,4,-0.1378,-0.0861,0.67,3824677.23,-0.2592,0.00694
144,2,-0.0127,0.0511,17.53,213207.06,0.5018,0.23993
145,2,0.1057,0.0435,10.91,4126491.55,1.2871,0.0131
146,3,0.1906,-0.0344,-2.93,3515176.52,-0.3439,0.00846
147,2,-0.1793,0.0801,-3.07,1226146.39,-0.143,0.00879
148,4,-0.1231,-0.0407,5.78,2865032.92,0.4934,0.00798
149,4,-0.1118,-0.0633,-1.75,2256016.96,-0.4429,0.00659
150,2,-0.0741,0.0636,-8.87,2151167.53,-0.8525,0.00714
151,4,-0.0725,0.002,-8.81,2639056.42,-0.9559,0.01088
152,4,0.1261,0.0042,1.28,3739222.11,0.1276,0.00789
153,4,0.033,0.0177,-16.47,2223102.07,-0.5699,0.19045
154,2,0.1588,0.0756,2.31,283511.7,-0.05,0.0903
155,2,-0.0098,0.0627,-18.16,2639613.49,-1.6774,0.01564
156,4,-0.1355,-0.0676,-16.01,701545.26,-1.0023,0.08095
157,3,0.0015,-0.0877,-2.54,3227091.22,-0.387,0.00687
158,4,-0.1773,0.0118,-8.83,3961038.07,-0.9042,0.0092
159,3,-0.0019,-0.0753,-3.0,2738665.59,-0.4191,0.00694
160,4,0.0163,0.0681,5.38,3440265.14,0.8663,0.00749
161,2,0.0884,0.0586,-1.08,4521016.49,-0.0053,0.00749
162,3,0.1797,-0.065,3.67,1774701.0,0.3598,0.00935
163,2,0.0701,0.0604,-9.83,1083680.37,-0.9631,0.01471
164,3,0.0072,-0.0652,19.35,4616008.27,1.6655,0.02123
165,4,0.0685,-0.0628,5.16,3278667.88,0.2126,0.0074
166,4,-0.0745,-0.0124,-5.71,206950.05,-0.7112,0.01325
167,2,0.0187,0.0422,-3.12,2235069.44,-0.2694,0.00738
168,3,-0.0995,-0.0772,10.19,2803383.68,1.0234,0.0099
169,4,-0.1273,-0.01,3.9,2122752.17,0.4065,0.00698
170,2,0.0304,0.0545,-8.57,3804077.59,-0.8675,0.00904
171,4,0.1504,0.0078,-3.01,1903399.58,-0.3099,0.00685
172,2,0.1462,0.087,-15.19,4041889.56,-1.4772,0.01694
173,3,0.0601,0.0045,3.14,2035544.83,0.3365,0.00752
174,2,-0.0011,0.0521,9.83,3672993.2,1.2502,0.01167
175,1,0.0486,0.0051,2.16,717124.3,0.3149,0.00732
176,4,0.0498,-0.0265,6.42,1607166.43,0.5041,0.0124
177,3,-0.0118,-0.0767,11.68,601866.54,1.1575,0.01472
178,4,-0.0555,-0.0515,-0.29,4976907.9,-0.2559,0.00657
179,4,-0.1223,-0.0898,1.54,4009787.16,-0.1883,0.00733
180,4,-0.0977,-0.0628,8.06,3752830.41,0.6313,0.00979
181,4,0.0592,0.0108,-13.27,1987519.24,-0.525,0.14911
182,3,0.1992,0.0084,7.49,2001812.4,0.4012,0.05868
183,4,0.1823,-0.0756,1.63,1334213.54,-0.0583,0.00871
184,3,0.0252,0.0217,-0.46,3422279.83,-0.0335,0.00605
185,2,0.0582,0.0781,9.42,4383090.07,1.294,0.01043
186,3,0.1767,-0.0885,-12.88,3091173.26,-1.4508,0.01729
187,3,0.1613,-0.0379,-12.22,649829.15,-1.1217,0.02296
188,3,0.0848,-0.03,10.54,1886158.99,1.1026,0.01304
189,2,-0.1108,0.0206,-19.57,4305900.56,-1.2752,0.04713
190,3,-0.0483,-0.0479,-3.67,2424828.92,-0.4533,0.00747
191,2,-0.0668,0.0459,3.75,163378.17,0.2801,0.08634
192,4,0.1191,-0.023,-0.24,788542.84,-0.1822,0.00547
193,2,0.0303,0.0585,-7.31,1210395.34,-0.706,0.01057
194,3,0.1828,-0.0879,-7.27,4481120.96,-0.9041,0.00944
195,3,0.0371,-0.0856,-6.68,1549895.12,-0.8797,0.01208
196,2,0.1422,0.0809,-16.34,1486234.05,-1.2334,0.02947
197,4,-0.0961,0.0255,-12.17,3555420.36,-1.1773,0.01507
198,3,0.1002,-0.0899,-2.47,1756860.23,-0.3646,0.00692
199,2,-0.1761,0.0045,6.61,228751.14,0.4436,0.08046
200,2,-0.0368,0.0291,-17.09,4859143.03,-1.556,0.01701
201,4,-0.0254,-0.0342,5.16,4085252.24,0.4173,0.00727
202,4,0.0163,0.0367,5.41,2071919.06,0.7409,0.00803
203,3,-0.045,-0.0842,-9.6,4743913.02,-1.1809,0.0114
204,3,-0.138,-0.0145,1.79,1077747.52,0.1842,0.007
205,3,-0.0489,-0.0399,-1.9,1316908.6,-0.2409,0.0075
206,4,0.0781,0.0239,4.99,2778838.21,0.6312,0.00713
207,2,0.0186,0.0529,-1.81,2371612.36,-0.0928,0.00734
208,4,0.1374,0.0055,-18.49,244802.41,-0.5842,0.21488
209,2,0.0316,0.0867,-9.35,3686967.37,-0.8974,0.00927
210,3,0.0039,-0.0314,-17.1,4956224.69,-1.531,0.02293
211,4,0.1879,0.0529,5.07,4255418.24,0.7723,0.00834
212,4,-0.189,0.0692,12.8,4824106.01,1.394,0.03619
213,2,0.0327,0.0655,-4.54,3065758.43,-0.3833,0.00793
214,2,0.1182,0.0448,6.61,679329.52,0.8597,0.01386
215,3,0.0702,-0.0593,-3.53,4362537.37,-0.4555,0.00577
216,2,0.1689,0.0788,-14.33,3836597.45,-1.4044,0.01602
217,3,-0.1804,-0.0664,-13.39,1875275.05,-0.4788,0.18443
218,3,-0.0625,-0.0756,9.61,3184544.23,1.0088,0.00761
219,3,0.0491,-0.0188,-5.28,717677.46,-0.653,0.0105
220,3,-0.0543,-0.0596,2.71,4729253.01,0.2413,0.00632
221,3,0.0688,-0.0083,-5.8,3714442.12,-0.6402,0.00701
222,4,-0.1642,-0.0461,-2.21,4527224.03,-0.4187,0.00725
223,3,0.1417,-0.0809,8.62,1594975.64,0.8809,0.01057
224,3,-0.0841,-0.0558,6.57,3043752.28,0.6666,0.00611
225,4,-0.0638,0.0294,-10.97,658941.88,-0.4988,0.10714
226,3,0.0635,-0.0777,-6.68,2723423.28,-0.855,0.00822
227,1,-0.0556,-0.0141,9.65,3461992.75,0.9467,0.01269
228,3,0.0075,-0.0338,11.58,4959996.65,1.2287,0.01061
229,4,-0.1466,-0.0435,9.69,2909332.34,0.9008,0.01261
230,4,-0.0918,-0.0684,-5.36,4025298.69,-0.8686,0.00582
231,4,-0.0606,-0.0802,-0.32,2227444.4,-0.3824,0.00752
232,2,0.0644,0.0344,5.98,3887795.34,0.7394,0.00812
233,3,-0.0713,-0.0198,1.97,1001707.69,0.1834,0.00691
234,3,0.1292,-0.0554,-11.47,2594600.87,-1.2855,0.01415
235,3,-0.1181,-0.0778,2.37,2508496.35,0.174,0.00751
236,4,-0.1534,0.0071,-5.31,1107225.63,-0.5591,0.0089
237,4,0.0693,0.0597,-3.73,2369954.32,-0.1407,0.00599
238,3,-0.0543,-0.039,4.25,1188749.0,0.4155,0.0073
239,2,0.0227,0.0839,1.95,4585689.37,0.4391,0.00747
240,4,-0.0173,-0.0569,1.42,1831347.92,-0.1094,0.00712
241,4,-0.174,-0.0578,-2.16,3838988.74,-0.4596,0.00765
242,4,-0.1,-0.0431,2.76,3441873.93,0.1423,0.00705
243,2,-0.0152,0.0489,-5.64,200053.73,-0.558,0.01168
244,3,0.1927,-0.0616,-4.17,2415131.09,-0.5117,0.0059
245,3,0.0296,0.048,-1.06,2476034.15,-0.0785,0.00573
246,4,-0.0453,-0.0192,1.69,3566680.93,0.1062,0.00627
247,1,-0.0272,-0.0042,11.4,366853.8,0.5405,0.10266
248,3,0.0717,-0.0113,1.33,1240117.94,0.1322,0.00695
249,2,-0.0271,0.0787,-15.53,3477302.44,-1.547,0.01083
250,3,0.1837,-0.0532,7.22,464408.68,0.7566,0.01439
251,2,0.0246,0.0061,11.07,2356167.57,1.1747,0.01351
252,2,-0.1275,0.0751,-2.61,2525790.18,-0.1097,0.00747
253,2,0.0418,0.0194,-17.22,3949157.65,-1.4604,0.02322
254,3,-0.1664,0.0322,2.95,1824256.95,0.3224,0.02766
255,2,-0.1654,0.0862,-4.44,262798.81,-0.2807,0.01318
256,4,-0.1786,-0.0186,-8.83,894829.78,-1.0224,0.01277
257,4,-0.0964,-0.0466,-9.1,3671025.53,-1.144,0.01142
258,4,0.0282,-0.0529,5.6,4330999.58,0.3446,0.00755
259,4,-0.1637,-0.0039,9.37,2487161.77,1.0241,0.01251
260,4,-0.1897,0.0179,7.7,2102423.84,0.9413,0.00987
261,1,-0.0537,-0.022,-8.64,2474553.71,-1.1007,0.01319
262,3,0.02,-0.0879,-14.35,2612391.81,-1.5934,0.01848
263,3,0.0697,-0.0334,6.36,2893383.59,0.6816,0.0079
264,3,0.172,-0.0285,-0.06,1955442.82,-0.0166,0.00859
265,4,-0.0732,-0.0644,-1.98,4452188.62,-0.4954,0.00596
266,4,-0.1333,0.026,-10.93,2051930.58,-0.7935,0.04938
267,2,0.1618,-0.0362,5.12,861662.21,0.3858,0.02965
268,4,0.0419,-0.0117,-1.12,159412.86,-0.335,0.01323
269,3,0.027,-0.0828,-19.57,3759105.19,-1.0204,0.11603
270,4,-0.1311,0.04,7.46,3769500.07,0.9919,0.00861
271,4,-0.0507,-0.0395,0.63,2756498.3,-0.1017,0.00662
272,4,-0.1848,-0.0696,4.94,4425107.44,0.3135,0.00795
273,2,-0.0943,0.0831,-15.82,2582498.0,-1.4062,0.01386
274,4,-0.1324,0.069,0.04,4430332.52,0.2892,0.00758
275,3,-0.0855,-0.0173,-3.46,4416339.38,-0.3952,0.00615
276,3,0.0659,-0.04,2.16,3401606.33,0.2048,0.00697
277,3,-0.1968,-0.0792,19.92,237460.82,0.672,0.17923
278,2,0.0029,0.0788,-19.28,449701.28,-1.311,0.04288
279,3,-0.1967,-0.0466,-15.5,3316442.9,-0.5489,0.202
280,3,-0.1007,-0.0025,3.79,4945332.4,0.4019,0.00786
281,4,-0.0999,-0.0211,-9.17,3496566.44,-1.0761,0.01061
282,4,-0.146,0.019,-6.02,2410138.62,-0.5731,0.00775
283,3,-0.0285,-0.0254,1.53,3556460.5,0.144,0.005
284,4,-0.0799,-0.0468,-0.86,3269684.03,-0.2925,0.00671
285,3,0.0372,-0.0629,3.88,4401433.86,0.3791,0.00673
286,3,0.12,-0.0406,0.34,2604823.11,0.0068,0.00668
287,2,-0.0608,0.0455,-2.54,4345863.24,-0.177,0.00697
288,4,-0.1024,0.0228,-17.0,3346844.28,-0.682,0.13659
289,2,0.1344,0.0469,2.85,3376631.14,0.3998,0.00576
290,4,0.0418,-0.048,13.36,538923.28,0.348,0.14103
291,4,-0.0679,-0.0188,-0.21,4471045.19,-0.0959,0.00662
292,3,-0.1357,-0.0805,7.17,534558.98,0.7235,0.00859
293,3,0.0579,-0.0886,4.88,2972615.52,0.4663,0.00799
294,4,-0.0198,0.0161,-7.03,1548322.52,-0.7024,0.01694
295,4,-0.0224,-0.0411,-6.6,1125490.0,-0.8902,0.01296
296,3,-0.0518,-0.0367,0.08,1885265.39,-0.0286,0.00554
297,4,0.1017,-0.0381,2.72,421324.13,0.0682,0.00838
298,3,-0.0076,-0.0878,10.41,4965906.95,1.0814,0.00802
299,4,-0.0849,-0.0479,6.21,3479014.98,0.4972,0.00809
300,4,-0.1025,0.0524,-4.86,512246.64,-0.3166,0.05748
301,1,-0.0239,-0.0307,-9.78,2618958.46,-1.2607,0.01126
302,3,0.0333,-0.0723,3.05,3181578.6,0.2745,0.00676
303,2,-0.0473,0.0252,-6.32,778693.82,-0.691,0.00733
304,3,-0.0004,-0.0551,10.69,2457412.01,1.1219,0.01001
305,3,0.0022,-0.029,15.81,396114.1,0.5456,0.15518
306,4,-0.1716,-0.0068,10.98,2319079.95,1.1416,0.01733
307,1,0.0047,-0.0377,-8.49,4846325.72,-1.1457,0.00821
308,4,-0.0752,-0.015,7.08,4559476.97,0.7322,0.00812
309,4,-0.1641,-0.0632,-8.85,2579353.42,-1.167,0.01321
310,4,-0.0536,-0.0268,-7.04,3497534.79,-0.8734,0.00899
311,4,0.0497,0.0151,1.6,607416.68,0.2202,0.00629
312,3,0.0619,-0.0784,-2.92,2047514.68,-0.4054,0.00696
313,2,0.0018,0.0709,-5.91,959104.96,-0.5155,0.01004
314,4,-0.0891,0.0316,2.49,2307581.65,0.4192,0.00608
315,4,0.199,-0.0252,-11.85,1752476.41,-0.5373,0.12232
316,3,-0.0785,-0.0209,9.0,1389228.69,0.9077,0.0173
317,4,0.0222,-0.0429,0.42,3182070.11,-0.1643,0.00724
318,2,0.0475,0.0545,-3.52,1981365.15,-0.2904,0.0088
319,4,0.0976,0.0021,12.55,3578368.56,0.5393,0.126
320,3,0.0024,-0.0551,3.0,3357679.6,0.2828,0.00615
321,4,-0.1827,0.042,-1.15,2243594.86,0.0626,0.00671
322,1,-0.0064,-0.0142,1.69,4865777.34,0.1072,0.00553
323,4,0.1715,0.0223,6.13,1689825.18,0.712,0.00877
324,3,-0.0722,-0.0453,4.97,3584964.5,0.5022,0.00791
325,4,-0.0834,-0.0675,-9.27,1169949.44,-1.0953,0.01674
326,3,-0.1915,-0.0547,-16.19,966782.46,-0.5427,0.21086
327,3,-0.0777,-0.0499,6.31,158194.66,0.6718,0.01272
328,3,0.0469,-0.0857,6.98,2654090.28,0.7052,0.00829
329,4,0.1761,0.0332,-1.45,3353708.41,-0.0336,0.00757
330,3,0.0552,-0.0767,5.18,3055409.96,0.5126,0.00784
331,3,0.1606,-0.0539,8.08,2146596.85,0.7959,0.02002
332,4,0.197,0.0437,5.79,1884668.74,0.792,0.01017
333,4,0.1818,-0.0609,3.48,537881.95,0.0055,0.01033
334,4,-0.0583,-0.0443,-3.29,812490.47,-0.5557,0.00702
335,3,0.0014,0.0092,-0.51,1592504.28,-0.0466,0.00895
336,4,-0.1836,-0.0436,1.02,1905723.72,-0.0289,0.00731
337,2,0.0999,0.0649,3.88,896759.02,0.5587,0.01933
338,4,-0.1105,-0.0682,6.67,964539.07,0.4366,0.01119
339,4,-0.1459,0.0074,-5.08,3294232.77,-0.5057,0.00647
340,4,0.0537,-0.0882,2.07,1254001.05,-0.2222,0.00805
341,4,-0.0012,-0.0181,-0.77,1834162.79,-0.1684,0.0063
342,2,0.0712,0.0806,0.14,2461112.8,0.1992,0.00857
343,3,-0.0844,-0.0648,-14.07,4248397.86,-1.0845,0.05623
344,3,0.0842,-0.0473,6.03,519616.28,0.6517,0.01356
345,1,-0.0335,-0.0143,15.71,169688.2,0.5441,0.15981
346,2,-0.0445,0.0814,-4.45,217636.12,-0.3064,0.01444
347,2,0.0132,-0.0018,-1.32,4889602.83,-0.1463,0.00571
348,2,0.1068,0.0512,2.11,2967997.61,0.3302,0.00738
349,2,-0.0238,0.0598,-2.85,1891622.15,-0.1887,0.00791
350,4,-0.0745,0.0102,5.36,3120504.68,0.6542,0.00744
351,3,0.0574,-0.0399,-18.51,4948728.3,-1.4993,0.03243
352,3,-0.0003,0.0016,-0.28,4615925.18,-0.0295,0.00766
353,3,-0.1349,-0.0288,1.85,4048980.16,0.1714,0.00582
354,2,0.0208,0.0195,-5.51,1905566.32,-0.584,0.00789
355,4,0.0453,0.016,0.49,3719749.45,0.1163,0.00773
356,2,0.1494,0.0743,-17.57,4371163.32,-1.479,0.02278
357,4,-0.1293,0.0226,2.04,4064292.78,0.3329,0.0057
358,4,-0.0606,-0.0713,0.1,1149813.03,-0.2833,0.0067
359,2,-0.0219,0.0141,-19.92,4420875.58,-1.465,0.03728
360,2,-0.0808,0.0138,14.24,1387081.64,0.5272,0.1734
361,4,-0.0599,-0.0208,-15.64,198784.33,-0.5727,0.14287
362,4,-0.0887,0.043,4.83,729464.56,0.7057,0.00997
363,2,0.0337,0.085,-19.59,1995665.45,-0.6686,0.13679
364,4,0.1464,-0.0472,-0.98,1458005.58,-0.4069,0.00499
365,4,0.1685,-0.0274,17.4,303378.35,0.4765,0.19658
366,1,0.0048,-0.0225,-17.14,1828139.56,-1.7752,0.02059
367,3,0.1079,-0.0243,-0.69,4601467.66,-0.0967,0.00646
368,3,0.0032,-0.0254,3.17,662045.88,0.3536,0.00691
369,3,0.0797,-0.0354,-4.78,4133425.27,-0.5594,0.00582
370,2,0.0325,0.0381,-0.9,1157750.51,-0.0303,0.00752
371,4,0.0862,-0.0861,1.02,3359688.03,-0.2052,0.00724
372,3,0.0501,0.0082,-10.83,1035618.23,-0.8121,0.04214
373,2,-0.0135,0.0631,18.61,2327532.88,0.676,0.20861
374,2,-0.0523,-0.0049,-6.2,324370.1,-0.6235,0.04
375,2,-0.0633,0.047,7.35,1444982.27,0.3112,0.12205
376,4,-0.1209,-0.0522,8.48,2229824.05,0.7002,0.01317
377,3,-0.1902,0.0315,-9.95,4171407.86,-0.5355,0.06927
378,3,0.1479,-0.0759,-15.33,2247741.73,-1.5114,0.02178
379,2,0.0198,0.0701,-0.2,4330473.13,0.1433,0.00716
380,4,0.1569,-0.0522,0.62,3845469.9,-0.0968,0.00875
381,4,-0.1736,0.0101,4.78,3634585.73,0.6033,0.00669
382,2,0.0288,0.0321,9.37,3181612.56,1.1365,0.01005
383,3,-0.0567,-0.0797,-3.59,2152456.35,-0.4869,0.00791
384,2,0.0169,0.0685,-9.53,330993.14,-0.8883,0.01631
385,3,0.0467,-0.0861,8.85,3388168.08,0.9166,0.00789
386,3,0.0983,-0.0001,0.0,2212296.02,0.0024,0.00675
387,4,-0.127,-0.0391,-0.6,4819007.6,-0.2139,0.00673
388,4,0.1282,-0.073,0.73,4841876.86,-0.097,0.00902
389,2,0.0454,0.0081,-14.85,4313991.44,-1.2032,0.02689
